                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                  3.411,                 3.4385,                 2.8043,                 3.4669,                  3.694,                 2.2919,                0.11422,                0.11322,                0.01446,                0.00361,                  3.326,                 3.2845,                 2.5947,                 3.2441,                 3.4305,                 2.0927,               0.005545,               0.005545,               0.005545
                     48,                 3.3649,                 3.3608,                 2.7878,                 3.4231,                 3.5914,                 2.2616,                0.21701,                0.01905,                0.01111,                0.00313,                 3.3867,                  3.398,                 2.6015,                 3.3498,                 3.6082,                 2.1358,               0.005446,               0.005446,               0.005446
                     49,                 3.3018,                  3.456,                 2.8136,                 3.3038,                 3.7593,                 2.2726,                0.00856,                0.16651,                0.01945,                 0.0051,                 3.2765,                 3.3156,                 2.6107,                 3.2507,                 3.5171,                 2.1248,               0.005347,               0.005347,               0.005347
                     50,                 3.2741,                 3.3875,                 2.7246,                 3.3123,                 3.7294,                 2.2399,                0.01115,                0.16915,                0.02241,                0.00632,                 3.3074,                 3.2402,                 2.5348,                 3.2273,                  3.441,                 2.0466,               0.005248,               0.005248,               0.005248
                     51,                 3.3484,                  3.351,                 2.7232,                 3.3466,                  3.612,                 2.2635,                0.00796,                0.13723,                0.01615,                0.00434,                 3.2885,                 3.5106,                 2.7932,                  3.292,                 3.6402,                 2.2524,               0.005149,               0.005149,               0.005149
                     52,                 3.2649,                 3.2427,                  2.679,                 3.2836,                 3.4945,                 2.2406,                0.16506,                0.03414,                0.02609,                0.00751,                 3.2271,                 3.2383,                 2.4443,                  3.148,                 3.3897,                 1.9965,                0.00505,                0.00505,                0.00505
                     53,                 3.2634,                 3.3474,                 2.7138,                 3.2275,                 3.5779,                 2.2281,                0.13181,                0.02975,                0.01571,                0.00408,                 3.4197,                 3.4599,                 2.5531,                 3.2824,                 3.6735,                 2.0293,               0.004951,               0.004951,               0.004951
                     54,                 3.2352,                 3.2217,                   2.62,                 3.2345,                 3.4732,                 2.1675,                0.13815,                0.08365,                0.02382,                0.00668,                 3.1089,                 3.1964,                 2.3807,                 3.0576,                 3.3933,                 1.9455,               0.004852,               0.004852,               0.004852
                     55,                 3.2132,                 3.2733,                 2.6154,                 3.2178,                 3.4456,                 2.1599,                0.14228,                 0.0495,                0.02598,                0.00824,                 3.0808,                 3.1887,                 2.3533,                  3.038,                 3.3789,                 1.9465,               0.004753,               0.004753,               0.004753
                     56,                 3.1845,                 3.3474,                 2.6817,                 3.2117,                 3.5779,                  2.216,                 0.1678,                0.04317,                0.02923,                0.00845,                 3.0608,                 3.1583,                 2.3453,                 3.0084,                 3.3267,                 1.9232,               0.004654,               0.004654,               0.004654
                     57,                 3.2254,                 3.2478,                 2.5964,                 3.1787,                 3.4649,                 2.1122,                0.05527,                0.07091,                0.02662,                0.00843,                 3.0863,                 3.1529,                 2.3522,                 2.9856,                 3.2513,                 1.9176,               0.004555,               0.004555,               0.004555
                     58,                 3.2092,                  3.218,                 2.5553,                 3.1561,                 3.4597,                 2.0807,                0.11394,                0.05261,                0.02932,                0.00898,                 3.1048,                 3.1153,                 2.3313,                 2.9931,                 3.2417,                    1.9,               0.004456,               0.004456,               0.004456
                     59,                 3.1385,                 3.1401,                 2.4735,                  3.149,                 3.3891,                 2.0606,                0.20463,                0.03722,                0.03592,                0.01046,                 3.0997,                 3.0761,                 2.3138,                 2.9765,                 3.2075,                 1.8754,               0.004357,               0.004357,               0.004357
                     60,                 3.1794,                 3.2045,                 2.4948,                 3.1628,                 3.4237,                 2.0591,                0.14764,                0.03612,                0.02579,                0.00784,                 3.1002,                 3.0845,                 2.3307,                 2.9828,                 3.2111,                 1.8857,               0.004258,               0.004258,               0.004258
                     61,                 3.1473,                 3.1328,                 2.5131,                 3.1472,                 3.3695,                 2.0639,                0.00941,                0.17047,                0.02077,                0.00576,                 3.1141,                 3.3862,                 2.5811,                 3.1468,                 3.5397,                 2.1031,               0.004159,               0.004159,               0.004159
                     62,                 3.1129,                 3.2437,                  2.478,                 3.1374,                 3.4683,                  2.053,                 0.0058,                 0.1224,                0.00859,                0.00243,                 3.2174,                 3.7727,                 3.0141,                 3.3912,                 4.0523,                 2.5245,                0.00406,                0.00406,                0.00406
                     63,                  3.073,                 3.1728,                 2.4612,                 3.0623,                 3.4137,                 2.0402,                0.16656,                0.07507,                0.03316,                0.01051,                 2.9119,                 2.9974,                 2.2289,                 2.8005,                 3.1598,                 1.8297,               0.003961,               0.003961,               0.003961
                     64,                  3.157,                 3.2275,                 2.3925,                 3.1733,                 3.3735,                 1.9788,                0.19943,                0.05614,                0.03295,                0.01055,                    2.9,                 3.0004,                 2.2124,                 2.8077,                 3.1574,                 1.8163,               0.003862,               0.003862,               0.003862
                     65,                 3.1174,                 3.1107,                 2.3781,                 3.1123,                 3.3104,                 1.9522,                0.21118,                0.06283,                0.03809,                0.01247,                 2.8503,                 2.9499,                  2.182,                 2.7621,                 3.1274,                 1.8072,               0.003763,               0.003763,               0.003763
                     66,                 3.0217,                 3.0816,                 2.3985,                 3.0097,                 3.2807,                 1.9834,                0.21737,                0.05017,                0.03924,                0.01299,                 2.8282,                 2.9363,                 2.1886,                 2.7584,                 3.1327,                 1.8056,               0.003664,               0.003664,               0.003664
                     67,                 3.0503,                 3.1394,                 2.4051,                 2.9944,                 3.4216,                 2.0443,                0.12383,                 0.1689,                 0.0283,                0.00886,                  2.915,                 3.0623,                 2.2804,                 2.8686,                 3.2262,                 1.8771,               0.003565,               0.003565,               0.003565
